timeperiod,pax,flights
2001M01,329467,2668
2001M02,322578,2462
2001M03,386489,2790
2001M04,385324,2855
2001M05,340745,2626
2001M06,319547,2448
2001M07,385066,3034
2001M08,371246,3127
2001M09,384217,2941
2001M10,386630,2873
2001M11,352695,2572
2001M12,332192,2697
2002M01,233188,2007
2002M02,229376,1841
2002M03,274855,2112
2002M04,253874,2093
2002M05,247160,2121
2002M06,241899,2034
2002M07,282860,2399
2002M08,338097,2778
2002M09,287675,2458
2002M10,299882,2470
2002M11,236917,2086
2002M12,243993,2138
2003M01,261964,2157
2003M02,248512,1946
2003M03,285032,2182
2003M04,303988,2402
2003M05,275289,2293
2003M06,280322,2263
2003M07,344417,2763
2003M08,384064,2993
2003M09,322415,2612
2003M10,330644,2444
2003M11,269178,2257
2003M12,251835,2289
2004M01,261606,2312
2004M02,255141,2165
2004M03,259208,2210
2004M04,303593,2373
2004M05,263128,2150
2004M06,272955,2125
2004M07,345583,2722
2004M08,398658,3209
2004M09,340591,2720
2004M10,328132,2487
2004M11,264331,2313
2004M12,282406,2598
2005M01,272039,2437
2005M02,257093,2148
2005M03,318337,2565
2005M04,268799,2287
2005M05,275153,2192
2005M06,291179,2247
2005M07,396429,2810
2005M08,436743,3023
2005M09,388881,2659
2005M10,377872,2404
2005M11,305710,2305
2005M12,298055,2426
2006M01,254652,2237
2006M02,237261,1978
2006M03,280263,2310
2006M04,319017,2465
2006M05,274627,2245
2006M06,300985,2307
2006M07,358670,2691
2006M08,412389,3095
2006M09,328130,2461
2006M10,333001,2645
2006M11,279553,2456
2006M12,274791,2711
2007M01,247604,2356
2007M02,244112,2193
2007M03,304310,2528
2007M04,314327,2508
2007M05,282917,2556
2007M06,290207,2420
2007M07,359289,3084
2007M08,412409,3372
2007M09,338612,2928
2007M10,321919,2732
2007M11,290753,2688
2007M12,285006,2854
2008M01,276265,2739
2008M02,274878,2506
2008M03,336083,2994
2008M04,291387,2801
2008M05,306077,2935
2008M06,309304,2864
2008M07,352048,3245
2008M08,390031,3580
2008M09,297077,2962
2008M10,299791,2792
2008M11,246745,2476
2008M12,224464,2376
2009M01,277236,2781
2009M02,262133,2439
2009M03,304165,2742
2009M04,326733,2842
2009M05,274761,2566
2009M06,284874,2497
2009M07,359175,2913
2009M08,395547,3203
2009M09,314446,2660
2009M10,330196,2757
2009M11,298243,2744
2009M12,289561,2807
2010M01,277570,2636
2010M02,276181,2407
2010M03,326407,2820
2010M04,298748,2736
2010M05,296341,3150
2010M06,311826,3018
2010M07,375622,3255
2010M08,405575,3416
2010M09,338759,2991
2010M10,353334,3096
2010M11,291308,2782
2010M12,272147,2770
2011M01,269026,2674
2011M02,272471,2510
2011M03,322998,2892
2011M04,340217,3005
2011M05,293891,2831
2011M06,315068,2816
2011M07,366711,3156
2011M08,388162,3289
2011M09,348240,3016
2011M10,337598,2921
2011M11,271589,2641
2011M12,268923,2732
2012M01,262755,2626
2012M02,253386,2435
2012M03,292983,2734
2012M04,300634,2665
2012M05,274397,2518
2012M06,291398,2476
2012M07,341983,2837
2012M08,354102,2873
2012M09,303314,2569
2012M10,304711,2417
2012M11,260000,2133
2012M12,250959,2283
2013M01,240561,2138
2013M02,232491,1958
2013M03,295859,2414
2013M04,285231,2387
2013M05,289191,2420
2013M06,303292,2428
2013M07,335385,2698
2013M08,372115,2906
2013M09,313977,2493
2013M10,329818,2625
2013M11,288655,2520
2013M12,274886,2667
2014M01,269967,2544
2014M02,262620,2319
2014M03,313934,2705
2014M04,333019,2918
2014M05,316846,2851
2014M06,339136,2891
2014M07,384533,3202
2014M08,409207,3333
2014M09,341570,2815
2014M10,359982,2940
2014M11,298009,2645
2014M12,273276,2729
2015M01,279712,2580
2015M02,277136,2410
2015M03,331571,2811
2015M04,342364,2861
2015M05,345311,2924
2015M06,364010,2956
2015M07,399304,3133
2015M08,429447,3335
2015M09,357620,2820
2015M10,393042,3039
2015M11,323383,2701
2015M12,304523,2724
2016M01,325436,2757
2016M02,328688,2680
2016M03,393659,3223
2016M04,369943,3069
2016M05,402275,3212
2016M06,423194,3350
2016M07,473091,3685
2016M08,484643,3806
2016M09,437520,3490
2016M10,456324,3451
2016M11,368069,3129
2016M12,377670,3304
2017M01,372252,3282
2017M02,367748,3017
2017M03,423451,3418
2017M04,477533,3640
2017M05,432178,3459
2017M06,470454,3562
2017M07,534915,4067
2017M08,559899,4220
2017M09,484436,3779
2017M10,499839,3944
2017M11,435853,3827
2017M12,432302,3883
2018M01,401453,3637
2018M02,392963,3386
2018M03,474776,3964
2018M04,459653,3811
2018M05,446607,3732
2018M06,463174,3836
2018M07,514837,4163
2018M08,532523,4242
2018M09,479524,3920
2018M10,502553,4044
2018M11,439181,3834
2018M12,421625,3857
